Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
63844320,"Obsidian Feathers (Fire on the Horizon, #1)",N. Cáceres,"Cáceres, N.",,,,0,4.34,Amazon Digital Services,Kindle Edition,555,2023,2023,,6/12/2023,currently-reading,currently-reading (#28),currently-reading,,,,1,0
63369521,"Revive Me, Part Two: The Affair (New Haven, #3)",J.L. Seegars,"Seegars, J.L.",,,,5,4.47,,Kindle Edition,234,2022,,6/11/2023,6/11/2023,,,read,,,,1,0
57505461,Keeper of My Soul: A Ganton Hills Novel,Aubreé Pynn,"Pynn, Aubreé",,,,0,4.61,Reign of Literature Publications,Kindle Edition,300,2021,,6/3/2023,5/28/2023,,,read,,,,1,0
59344312,Verity,Colleen Hoover,"Hoover, Colleen",,153872474X,9781538724743,3,4.35,Grand Central Publishing,Paperback,336,2021,2018,3/30/2022,3/24/2022,,,read,,,,1,0
152387598,Only For The Week,Natasha Bishop,"Bishop, Natasha",Muddled Ink Editorial Co.,,,5,4.74,,Kindle Edition,244,2023,,5/28/2023,5/28/2023,,,read,,,,1,0
59063015,Stay with Me,Ayọ̀bámi Adébáyọ̀,"Adébáyọ̀, Ayọ̀bámi",,,,0,4.06,Knopf,Kindle Edition,259,2017,2017,,5/28/2023,currently-reading,currently-reading (#27),currently-reading,,,,1,0
124928583,Far From Friends,A.C. Taylor,"Taylor, A.C.",,,,0,4.35,,Kindle Edition,254,2023,,5/22/2023,5/21/2023,,,read,,,,1,0
43471242,Karmic Astrology: Interpret Your Own Birth Chart,Meg Ann Walker,"Walker, Meg Ann",,,,0,4.53,PublishNation,Kindle Edition,204,2019,,,5/18/2023,currently-reading,currently-reading (#26),currently-reading,,,,1,0
61340833,Two Minute Warning (Houston Skyhawks Book 2),Alexandra Warren,"Warren, Alexandra",,,,0,4.69,,Kindle Edition,271,2022,,5/17/2023,12/24/2022,,,read,,,,2,0
9547888,Attached: The New Science of Adult Attachment and How It Can Help You Find—and Keep—Love,Amir Levine,"Levine, Amir",Rachel Heller,1585428485,9781585428489,0,4.15,Tarcher,Hardcover,304,2010,2010,5/17/2023,2/11/2023,,,read,,,,1,0
58292274,Autumyn's Kiss: A Kiss Family Novel,Kema B.,"B., Kema",,,,0,4.67,,Kindle Edition,,2021,,5/17/2023,3/3/2023,,,read,,,,1,0
62856965,"Screwed (Preston Brothers, #1)",Nicole Falls,"Falls, Nicole",,,,0,4.31,,Kindle Edition,,2022,2022,5/17/2023,5/7/2023,,,read,,,,1,0
59546155,Love Always (Love in Seattle #3),Asia Monique,"Monique, Asia",,,,0,4.47,Alayla J. Presents,Kindle Edition,135,2021,2021,5/17/2023,5/8/2023,,,read,,,,1,0
56077157,From the Time Before,Jessie  Marie,"Marie, Jessie",,,,0,4,,,,,,,5/17/2023,,,read,,,,1,0
55308073,Take it on Faith (Hometown #1),Jessie  Marie,"Marie, Jessie",,,,0,3.52,Jessie Marie Publications,Kindle Edition,308,2020,2020,,5/17/2023,,,read,,,,1,0
61229235,"King of Wrath (Kings of Sin, #1)",Ana Huang,"Huang, Ana",,,,0,4.09,,Kindle Edition,398,2022,2022,,5/17/2023,,,read,,,,1,0
45310776,"I Think I Might Love You (Love Sisters, #1)",Christina C. Jones,"Jones, Christina C.",,,,0,4.26,,Kindle Edition,144,2019,2019,,5/17/2023,,,read,,,,1,0
52284065,Equivalent Exchange (Night Shift),Christina C. Jones,"Jones, Christina C.",,,,0,4.55,Warm Hues Creative,Kindle Edition,242,2019,2019,,5/17/2023,,,read,,,,1,0
59985696,Gravity,AshleyNicole,"AshleyNicole, AshleyNicole",Erin B,,,0,4.8,,Kindle Edition,,2021,,5/17/2023,4/6/2023,,,read,,,,1,0
53502173,Bound by A Gangsta's Love,Miss J.,"J., Miss",,,,0,4.73,,Kindle Edition,,2020,,5/17/2023,4/19/2023,,,read,,,,1,0
54323567,What's Best For Me 2: Unapologetically Me Series,Danesha Little,"Little, Danesha",,,,0,4.73,,Kindle Edition,395,2020,,,5/17/2023,,,read,,,,1,0
63849820,Hammered (Preston Brothers Book Two_,Nicole Falls,"Falls, Nicole",,,,0,4.35,,Kindle Edition,,2022,,5/17/2023,5/7/2023,,,read,,,,1,0
60683085,"To Her Rescue (The Knight Brothers, #1)",Dria Andersen,"Andersen, Dria",,,,0,4.4,,Kindle Edition,185,2022,2022,,5/17/2023,,,read,,,,1,0
150314446,Had Me At Hello: When Nina Meets Meech,Talena Tillman,"Tillman, Talena",,,,0,4.53,,Kindle Edition,137,2023,,,5/17/2023,,,read,,,,1,0
57984950,Beast: Happily Ever After,Skye Moon,"Moon, Skye",,,,0,4.51,,Kindle Edition,,2021,,,5/17/2023,,,read,,,,1,0
43241665,Let Me Free You (McClain Brothers #4),Alexandria  House,"House, Alexandria",,,,0,4.63,,Kindle Edition,213,2018,2018,5/17/2023,3/19/2023,,,read,,,,1,0
60169613,Beast (Urban Fairytale #1),Skye Moon,"Moon, Skye",,,,0,4.51,Reign of Literature Publications,Kindle Edition,342,2022,,5/17/2023,4/30/2023,,,read,,,,1,0
125958746,When Luke Met Juliette (The Energy Series),Brookelyn  Mosley,"Mosley, Brookelyn",,,,4,4.52,85 Media LLC,Kindle Edition,200,2023,,5/17/2023,5/17/2023,,,read,,,,1,0
152257396,The Burial of a Player (A Jareau Family Novel Book 3),Kimberly   Brown,"Brown, Kimberly",,,,3,4.79,B. Love Publications,Kindle Edition,294,2023,,5/12/2023,5/11/2023,,,read,,,,1,0
123199669,Deep In My Soul (A Jareau Family Novel Book 2),Kimberly   Brown,"Brown, Kimberly",,,,0,4.76,B. Love Publications,Kindle Edition,304,2023,,,5/11/2023,currently-reading,currently-reading (#25),currently-reading,,,,1,0
43093093,"Intro to Python for Computer Science and Data Science: Learning to Program with AI, Big Data and The Cloud",Paul J. Deitel,"Deitel, Paul J.",Harvey Deitel,0135404673,9780135404676,0,4.03,Pearson,Paperback,880,2019,,,5/11/2023,currently-reading,currently-reading (#24),currently-reading,,,,1,0
1258804,"Soothe Your Nerves: The Black Woman's Guide to Understanding and Overcoming Anxiety, Panic, and Fear",Angela Neal-Barnett,"Neal-Barnett, Angela",,0743225384,9780743225380,0,4.03,Touchstone,Paperback,224,2003,2003,,5/11/2023,currently-reading,currently-reading (#23),currently-reading,,,,1,0
58918426,Sincerely Yours (Love in Seattle #2),Asia Monique,"Monique, Asia",,,,0,4.6,Alayla J. Presents,Kindle Edition,154,2021,2021,5/8/2023,2/21/2023,,,read,,,,1,0
55655051,Saving Sunflower (The Sun),Rae Lyse,"Lyse, Rae",,,,0,4.7,,Kindle Edition,,2020,2020,,5/7/2023,currently-reading,currently-reading (#22),currently-reading,,,,1,0
50208051,What's Best For Me : Unapologetically Me Series,Danesha Little,"Little, Danesha",,,,0,4.75,Joriana Publishing,Kindle Edition,396,2019,,5/5/2023,5/4/2023,,,read,,,,1,0
44525961,Unapologetically Me,Danesha Little,"Little, Danesha",,,,0,4.7,Joriana Publishing,Kindle Edition,380,2019,,5/4/2023,5/2/2023,,,read,,,,1,0
59689792,What You've Been Missing: A Cristal Beach Novel,Kema B.,"B., Kema",,,,0,4.7,,Kindle Edition,,2021,,5/2/2023,4/5/2023,,,read,,,,1,0
68664393,"Pucking Around (Jacksonville Rays, #1)",Emily Rath,"Rath, Emily",,,,0,4.14,,Kindle Edition,,2023,,,4/30/2023,,,read,,,,1,0
42314715,Let Me Show You (McClain Brothers #3),Alexandria  House,"House, Alexandria",,,,0,4.49,,Kindle Edition,212,2018,2018,4/30/2023,4/29/2023,,,read,,,,1,0
40514449,Let Me Hold You (McClain Brothers #2),Alexandria  House,"House, Alexandria",,,,0,4.56,,Kindle Edition,268,2018,2018,4/29/2023,4/28/2023,,,read,,,,1,0
61210821,"Stolen Touches (Perfectly Imperfect, #5)",Neva Altaj,"Altaj, Neva",,,,0,4.05,,Kindle Edition,288,2022,,4/26/2023,4/25/2023,,,read,,,,1,0
18716861,"Love Lost (Love's Improbable Possibility, #1)",Love Belvin,"Belvin, Love",,,,0,4.5,MKT Publishing,Kindle Edition,323,2013,2013,,4/25/2023,currently-reading,currently-reading (#21),currently-reading,,,,1,0
86030372,One Week in Paradise,Anise Starre,"Starre, Anise",,,,0,4.02,,Kindle Edition,222,2023,,,4/23/2023,,,read,,,,1,0
123248572,The Firemen's Ball : A Masquerade Affair,Denise Essex,"Essex, Denise",,,,0,4.47,,Kindle Edition,184,2023,,4/22/2023,4/17/2023,,,read,,,,1,0
54699275,Bound by A Gangsta's Love 2,Miss J.,"J., Miss",,,,0,4.8,,Kindle Edition,,2020,,4/20/2023,4/20/2023,,,read,,,,1,0
56396781,Honest and True (Southern Gentlemen Book 3),Ja'Nese Dixon,"Dixon, Ja'Nese",,,,0,4.63,,Kindle Edition,324,2021,,,4/19/2023,,,read,,,,1,0
55061953,Play to Win (Southern Gentlemen Book 1),Ja'Nese Dixon,"Dixon, Ja'Nese",,,,0,4.56,,Kindle Edition,,2020,,,4/18/2023,,,read,,,,1,0
54208016,There’s Still Beauty in This Street Love 2: Her Fallen Angel,Elle Kayson,"Kayson, Elle",,,,0,4.8,,Kindle Edition,216,2020,,,4/17/2023,,,read,,,,1,0
54221472,There’s Still Beauty in This Street Love: Her Fallen Angel,Elle Kayson,"Kayson, Elle",,,,0,4.74,,Kindle Edition,244,2020,2017,4/16/2023,4/16/2023,,,read,,,,1,0
54208880,The Beauty of This Street Love 3: A Texas Tale,Elle Kayson,"Kayson, Elle",,,,0,4.73,,Kindle Edition,,2020,2017,,4/16/2023,,,read,,,,1,0
54207108,The Beauty of This Street Love 2: A Texas Tale,Elle Kayson,"Kayson, Elle",,,,0,4.74,,Kindle Edition,,2020,2017,4/16/2023,4/15/2023,,,read,,,,1,0
54189482,The Beauty of This Street Love: A Texas Tale,Elle Kayson,"Kayson, Elle",,,,0,4.76,,Kindle Edition,206,2020,2017,,4/15/2023,,,read,,,,1,0
62080639,Demon's Dream: An Unexpected Love,Elle Kayson,"Kayson, Elle",,,,0,4.85,,Kindle Edition,768,2022,,4/15/2023,4/7/2023,,,read,,,,1,0
60568471,"Before I Let Go (Skyland, #1)",Kennedy Ryan,"Ryan, Kennedy",,1538706792,9781538706794,5,4.4,Forever,Paperback,420,2022,2022,,4/9/2023,,,read,,,,1,0
59970541,Restore Me,J.L. Seegars,"Seegars, J.L.",,,,4,4.15,,Kindle Edition,490,2021,2022,,4/8/2023,,,read,,,,2,0
108518966,Force of Nature (The Berotte Family Book 11),Monica Walters,"Walters, Monica",Latisha Burns,,,0,4.81,,Kindle Edition,,2023,,4/6/2023,4/5/2023,,,read,,,,1,0
38819868,"My Sister, the Serial Killer",Oyinkan Braithwaite,"Braithwaite, Oyinkan",,0385544235,9780385544238,3,3.69,Doubleday,Hardcover,226,2018,2018,4/5/2023,3/29/2023,,,read,,,,1,0
59089512,Prior Affair (Night Shift #2),Christina C. Jones,"Jones, Christina C.",,,,5,4.68,Warm Hues Creative,Kindle Edition,172,2021,2021,4/5/2023,3/31/2023,,,read,,,,1,0
57370115,Highly Suspicious and Unfairly Cute,Talia Hibbert,"Hibbert, Talia",,,9780593482346,0,3.82,Joy Revolution,ebook,336,2023,2023,,3/29/2023,currently-reading,currently-reading (#20),currently-reading,,,,1,0
75500709,How to be Love(d),Humble the Poet,"Poet, Humble the",,1401973590,9781401973599,0,4.26,Hay House Inc,Paperback,1,2023,,,3/29/2023,currently-reading,currently-reading (#19),currently-reading,,,,1,0
60438349,Fair Catch,Kandi Steiner,"Steiner, Kandi",,,,0,3.79,,Kindle Edition,310,2022,2022,3/29/2023,3/19/2023,,,read,,,,1,0
55779209,ATE,Rilzy Adams,"Adams, Rilzy",,,,0,4.31,Rilzy Adams,Kindle Edition,56,2020,2020,3/29/2023,3/22/2023,,,read,,,,1,0
40813638,Wins & Losses,Alexandra Warren,"Warren, Alexandra",,,,0,4.54,,Kindle Edition,,2018,2018,3/29/2023,3/26/2023,,,read,,,,1,0
123182272,Compulsive (Love Struck Series Book 1),Skye Moon,"Moon, Skye",,,,0,4.65,,Kindle Edition,,2023,,3/29/2023,3/28/2023,,,read,,,,1,0
60034351,Does It Hurt?,H.D. Carlton,"Carlton, H.D.",,,,0,3.97,,Kindle Edition,432,2022,2022,,3/26/2023,currently-reading,currently-reading (#18),currently-reading,,,,1,0
123282871,Sight Unseen,Kasha Thompson,"Thompson, Kasha",,,,0,4.41,,Kindle Edition,323,2023,,3/26/2023,3/23/2023,,,read,,,,1,0
123268529,Cravings (King's Town Novella Series Book 4),Shon,"Shon, Shon",,,,0,4.43,,Kindle Edition,129,2023,,3/19/2023,3/19/2023,,,read,,,,1,0
75718893,"Yours (King's Town, #3)",Shon,"Shon, Shon",,,,0,4.52,,Kindle Edition,106,2023,2023,3/19/2023,3/19/2023,,,read,,,,1,0
63887789,"Midnight (King's Town, #2)",Shon,"Shon, Shon",,,,0,4.25,,Kindle Edition,84,2022,2022,3/19/2023,3/19/2023,,,read,,,,1,0
84943172,"The Right Move (Windy City, #2)",Liz Tomforde,"Tomforde, Liz",,,,0,4.49,Golden Boy Publishing LLC,Kindle Edition,417,2023,2023,3/19/2023,3/15/2023,,,read,,,,1,0
61630554,"His Majesty (King's Town, #1)",Shon,"Shon, Shon",,,,0,4.09,,Kindle Edition,61,2022,2022,3/19/2023,3/18/2023,,,read,,,,1,0
52656911,The Guest List,Lucy Foley,"Foley, Lucy",,,,3,3.84,William Morrow,Kindle Edition,319,2020,2020,,3/16/2023,,,read,,,,1,0
123026687,InstaLove (The One Series Duet),Danielle Allen,"Allen, Danielle",,,,0,4.57,,Kindle Edition,,2023,,3/15/2023,3/14/2023,,,read,,,,1,0
122756973,The Body Hunter,M Monique,"Monique, M",,,,0,4.63,,Kindle Edition,160,2023,,3/13/2023,3/12/2023,,,read,,,,1,0
80900631,I Wanna Be Down,AshleyNicole,"AshleyNicole, AshleyNicole",,,,0,4.8,,Kindle Edition,259,2023,,3/12/2023,3/11/2023,,,read,,,,1,0
112943384,Pharaoh: Wolf Warriors MC,K.C. Mills,"Mills, K.C.",,,,0,4.66,,Kindle Edition,308,2023,,,3/11/2023,,,read,,,,1,0
111172599,Soul Snatched,Lex. C.,"C., Lex.",,,,0,4.67,,Kindle Edition,210,2023,,3/7/2023,3/6/2023,,,read,,,,1,0
122995659,Red Roses and Regrets (The Consortium Book 1),Dandridge Monroe,"Monroe, Dandridge",Nubian FX,,,0,4.53,,Kindle Edition,,2023,,2/26/2023,2/25/2023,,,read,,,,1,0
60323722,Mister Librarian (The Mister Series Book 1),B. Love,"Love, B.",,,,0,4.52,,Kindle Edition,164,2022,,,2/25/2023,currently-reading,currently-reading (#17),currently-reading,,,,1,0
63033215,Bash: Wolf Warriors MC,K.C. Mills,"Mills, K.C.",,,,0,4.63,,Kindle Edition,233,2022,2022,2/25/2023,2/25/2023,,,read,,,,1,0
58761246,Free Game: A Foxview Heights Novel,Kema B.,"B., Kema",,,,0,4.68,,Kindle Edition,165,2021,,2/24/2023,2/23/2023,,,read,,,,1,0
61491008,I Got You,Miss Jenesequa,"Jenesequa, Miss",,,,0,4.49,,Kindle Edition,350,2022,,,2/21/2023,currently-reading,currently-reading (#16),currently-reading,,,,1,0
60386955,Meet Me Halfway (Learning to Love Series),Lilian T. James,"James, Lilian T.",,,,0,3.95,,Kindle Edition,386,2022,2022,,2/21/2023,currently-reading,currently-reading (#15),currently-reading,,,,1,0
38397708,Let Me Love You (McClain Brothers #1),Alexandria  House,"House, Alexandria",,,,0,4.49,,Kindle Edition,313,2018,2018,2/21/2023,2/17/2023,,,read,,,,1,0
58005176,Dear Amelia (Love in Seattle #1),Asia Monique,"Monique, Asia",,,,0,4.27,Alayla J. Presents,Kindle Edition,158,2021,2021,2/17/2023,2/14/2023,,,read,,,,1,0
61431600,"Jasper Vale (The Edens, #4)",Devney Perry,"Perry, Devney",,,,0,4.2,,Kindle Edition,354,2023,2023,,2/14/2023,currently-reading,currently-reading (#14),currently-reading,,,,1,0
59730242,"Garnet Flats (The Edens, #3)",Devney Perry,"Perry, Devney",,,,0,3.82,Devney Perry LLC,Kindle Edition,346,2022,2022,2/14/2023,2/13/2023,,,read,,,,1,0
59114267,"Juniper Hill (The Edens, #2)",Devney Perry,"Perry, Devney",,,,0,4.19,,Kindle Edition,326,2022,2022,2/13/2023,2/12/2023,,,read,,,,1,0
38236478,Love Notes (Equilibrium #1),Christina C. Jones,"Jones, Christina C.",,,,0,4.59,,Kindle Edition,262,2018,2018,,2/12/2023,currently-reading,currently-reading (#13),currently-reading,,,,1,0
52276459,"The Takeover (The Miles High Club, #2)",T.L. Swan,"Swan, T.L.",,,,0,4.44,Montlake,Kindle Edition,477,2020,2020,,2/12/2023,,,read,,,,1,0
58885776,The Dead Romantics,Ashley Poston,"Poston, Ashley",,0593336488,9780593336489,2,4,Berkley ,Paperback,368,2022,2022,2/11/2023,2/6/2023,,,read,,,,1,0
45156972,"The Stopover (The Miles High Club, #1)",T.L. Swan,"Swan, T.L.",,,,0,4.06,Montlake Romance,Kindle Edition,525,2019,2019,2/11/2023,2/9/2023,,,read,,,,1,0
59562844,"Ignite (Cloverleigh Farms, #6)",Melanie Harlow,"Harlow, Melanie",,,,0,4.12,,Kindle Edition,342,2021,2021,,2/9/2023,currently-reading,currently-reading (#12),currently-reading,,,,1,0
95861285,Sinful Obsession (Mafia Misfits Book 5),Asia Monique,"Monique, Asia",,,,0,4.6,,Kindle Edition,225,2023,,2/8/2023,2/8/2023,,,read,,,,1,0
62795287,Sinful Desire (Mafia Misfits Book 4),Asia Monique,"Monique, Asia",,,,0,4.57,,Kindle Edition,,2022,,,2/8/2023,,,read,,,,1,0
61373896,Sinful Redemption,Asia Monique,"Monique, Asia",,,,0,4.59,,Kindle Edition,310,2022,,2/7/2023,2/7/2023,,,read,,,,1,0
60840175,"Sinful Vow (Mafia Misfits, #1)",Asia Monique,"Monique, Asia",,,,0,4.26,,Kindle Edition,268,2022,2022,2/7/2023,2/7/2023,,,read,,,,1,0
68691095,"Where Love Blooms (A Jareau Family Novel, #1)",Kimberly   Brown,"Brown, Kimberly",,,,0,4.75,B. Love Publications,Kindle Edition,284,2022,,2/7/2023,2/5/2023,,,read,,,,1,0
48844619,"The Kingmaker (All the King's Men, #1)",Kennedy Ryan,"Ryan, Kennedy",,,,0,4.12,Amazon Digital Services,Kindle Edition,319,2019,2019,,2/5/2023,currently-reading,currently-reading (#11),currently-reading,,,,1,0
71639384,Terms of Inheritance:  (Seaside Mergers book 1),Adorabol Huckleby-Ordaz,"Huckleby-Ordaz, Adorabol",,,,0,4.12,,ebook,,2023,,2/5/2023,2/4/2023,,,read,,,,1,0
59539661,For Better or Worse,Jessie  Marie,"Marie, Jessie",,,,0,3.77,Jessie Marie Publications LLC,Kindle Edition,265,2021,,,1/29/2023,currently-reading,currently-reading (#10),currently-reading,,,,1,0
75271859,Fell For The Wrong One,Tay Mo'Nae,"Mo'Nae, Tay",,,,0,4.61,,Kindle Edition,,2023,,1/29/2023,1/25/2023,,,read,,,,1,0
57047870,The Driver's Seat: A McNeal Love Story (The McNeal Love Stories Book 1),Shameka S. Erby,"Erby, Shameka S.",,,,0,4.18,,Kindle Edition,,2021,,1/28/2023,1/27/2023,,,read,,,,1,0
57369750,Just Please Me (Westbrooke Angels #1),Deanna Grey,"Grey, Deanna",,,,0,3.97,,Kindle Edition,,2021,,1/27/2023,1/26/2023,,,read,,,,1,0
31195878,"Love at First Spite (The Spite Series, #1)",Alexandra Warren,"Warren, Alexandra",,,,0,4.42,,Kindle Edition,274,2016,2016,1/26/2023,1/25/2023,,,read,,,,1,0
59715550,Alight (The Firecracker Cousins Book 1),A.H. Cunningham,"Cunningham, A.H.",,,,0,3.91,,Kindle Edition,,2021,,1/25/2023,1/22/2023,,,read,,,,1,0
84280645,"Plié (Wicked Moves, #1)",A.H. Cunningham,"Cunningham, A.H.",,,,0,4.36,A.H. Cunningham,Kindle Edition,317,2023,,1/24/2023,1/23/2023,,,read,,,,1,0
53570669,Will You Be Mine? (Falling Like A Johnson #2),Rilzy Adams,"Adams, Rilzy",,,,0,3.96,,Kindle Edition,133,2020,2017,,1/22/2023,currently-reading,currently-reading (#9),currently-reading,,,,1,0
59990438,The Replacements: A Grumpy Boss Romance,Shae Sanders,"Sanders, Shae",,,,0,4.38,Pink Sands,Kindle Edition,261,2022,2022,1/22/2023,1/22/2023,,,read,,,,1,0
56148918,Forgive,Nikki Blaire,"Blaire, Nikki",,,,0,4.47,,Kindle Edition,,2020,,1/22/2023,1/21/2023,,,read,,,,1,0
48842559,Fortress (Forde Family Series Book 2),Nikki Blaire,"Blaire, Nikki",,,,0,4.66,Hollyville Publishing,Kindle Edition,467,2019,,1/21/2023,1/21/2023,,,read,,,,1,0
36621528,"Fortunate (Forde Family, #1)",Nikki Blaire,"Blaire, Nikki",,,,0,4.54,Hollyville Publishing,Kindle Edition,301,2017,,1/20/2023,1/19/2023,,,read,,,,1,0
58527403,"Magnolia Parks (Magnolia Parks Universe, #1)",Jessa Hastings,"Hastings, Jessa",,,,0,3.89,,Kindle Edition,423,2021,2021,,1/16/2023,currently-reading,currently-reading (#8),currently-reading,,,,1,0
62066656,Accidentally Amy,Lynn Painter,"Painter, Lynn",,,,0,3.6,,Kindle Edition,244,2022,2022,,1/15/2023,currently-reading,currently-reading (#7),currently-reading,,,,1,0
51479768,Sensitivity,Grey Huffington,"Huffington, Grey",,,,3,4.65,Grey & Company,Kindle Edition,112,2020,,1/13/2023,1/12/2023,,,read,,,,1,0
60736788,"Love On Replay (The Berotte Family, #1)",Monica Walters,"Walters, Monica",,,,0,4.66,,Kindle Edition,,2022,,,1/12/2023,currently-reading,currently-reading (#6),currently-reading,,,,1,0
75653594,The Last Ring,Cassandra B,"B, Cassandra",The Editing Boutique,,,0,4.69,,Kindle Edition,,2023,,,1/12/2023,currently-reading,currently-reading (#5),currently-reading,,,,1,0
63892037,Team Players (Mendell Hawks #2),Deanna Grey,"Grey, Deanna",,,,0,3.84,,Kindle Edition,323,2022,2022,1/12/2023,1/8/2023,,,read,,,,1,0
58484187,We Deserve Monuments,Jas Hammonds,"Hammonds, Jas",,1250816556,9781250816559,0,4.35,Roaring Brook Press,Hardcover,384,2022,2022,,1/10/2023,to-read,to-read (#31),to-read,,,,0,0
33413909,The Deepest Well: Healing the Long-Term Effects of Childhood Adversity,Nadine Burke Harris,"Harris, Nadine Burke",,0544828704,9780544828704,0,4.48,Mariner Books,Hardcover,272,2018,2018,,1/9/2023,to-read,to-read (#30),to-read,,,,0,0
58214328,What My Bones Know: A Memoir of Healing from Complex Trauma,Stephanie Foo,"Foo, Stephanie",,0593238109,9780593238103,0,4.52,Ballantine Books,Hardcover,352,2022,2022,,1/9/2023,to-read,to-read (#29),to-read,,,,0,0
61221784,"Sunny Disposition (Mendell Hawks, #1)",Deanna Grey,"Grey, Deanna",,,,0,3.56,,Kindle Edition,272,2022,2022,,1/8/2023,,,read,,,,1,0
73305735,Spiked Hot Chocolate,Rilzy Adams,"Adams, Rilzy",,,,4,4.35,,Kindle Edition,86,2022,,,1/7/2023,,,read,,,,1,0
1963638,The Untethered Soul: The Journey Beyond Yourself,Michael A. Singer,"Singer, Michael A.",,1572245379,9781572245372,4,4.22,New Harbinger Publications,Paperback,183,2007,2007,1/7/2023,1/1/2023,,,read,,,,1,0
